group,names,logfoldchanges,pvals_adj
B cells,CD79A,7.782781,0.0
B cells,IGKC,4.6990523,0.0
B cells,JCHAIN,6.132104,0.0
B cells,HERPUD1,2.4637954,0.0
B cells,IGHA1,4.8818717,0.0
B cells,MZB1,5.761003,0.0
B cells,DERL3,5.883735,0.0
B cells,IGHA2,4.3934317,0.0
B cells,IGLC2,3.869993,0.0
B cells,IGLC3,3.9634712,0.0
Epithelial cells,KRT18,6.0805635,0.0
Epithelial cells,KRT8,5.767876,0.0
Epithelial cells,EPCAM,6.219758,0.0
Epithelial cells,CLDN3,6.0764475,0.0
Epithelial cells,LGALS4,5.5068035,0.0
Epithelial cells,KRT19,5.8092084,0.0
Epithelial cells,CLDN4,5.4076734,0.0
Epithelial cells,TSPAN8,5.9695454,0.0
Epithelial cells,ELF3,5.7232924,0.0
Epithelial cells,CD24,5.4879847,0.0
Mast cells,TPSB2,14.05077,4.9861278683153384e-95
Mast cells,TPSAB1,14.724201,4.9861278683153384e-95
Mast cells,LMNA,4.394544,6.1014827085872904e-86
Mast cells,CPA3,12.837527,3.7375728672316305e-85
Mast cells,GLUL,4.7650747,1.7463003193071034e-70
Mast cells,HPGDS,10.697893,6.315173003013475e-70
Mast cells,ANXA1,4.0946035,6.070573453006948e-68
Mast cells,VIM,3.6174278,1.5125496925817203e-66
Mast cells,CD63,2.7335377,2.1170874908900797e-62
Mast cells,GATA2,8.920897,9.686108764497303e-57
Myeloids,TYROBP,7.6931834,0.0
Myeloids,FCER1G,7.706974,0.0
Myeloids,FTL,3.3296463,0.0
Myeloids,HLA-DRA,5.5269585,0.0
Myeloids,SOD2,4.782954,0.0
Myeloids,AIF1,7.707359,0.0
Myeloids,SAT1,3.0017471,0.0
Myeloids,FTH1,2.7116876,0.0
Myeloids,CXCL8,6.0945754,0.0
Myeloids,CTSB,4.549962,0.0
Stromal cells,IGFBP7,8.333585,0.0
Stromal cells,CALD1,8.879951,0.0
Stromal cells,SPARC,7.5023594,0.0
Stromal cells,IFITM3,3.7606115,0.0
Stromal cells,COL6A2,7.90102,0.0
Stromal cells,LGALS1,4.002545,0.0
Stromal cells,NNMT,7.309501,0.0
Stromal cells,CAVIN3,6.24645,0.0
Stromal cells,VIM,3.2749002,0.0
Stromal cells,CD63,2.4491744,0.0
T cells,CD3D,7.367816,0.0
T cells,B2M,2.105488,0.0
T cells,SARAF,2.9067497,0.0
T cells,BTG1,2.7494752,0.0
T cells,TRAC,6.4468446,0.0
T cells,CREM,3.8812246,0.0
T cells,SRGN,3.6833353,0.0
T cells,CD7,6.946687,0.0
T cells,ARHGDIB,3.3640864,0.0
T cells,CD3E,7.5474696,0.0
